lr,Batch size,Number of layers,Nodes per layer,Kernel size,F1 size,F2 size,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,Kernel size 2
0.001,256,1,1000,1,32,64,0,2,0.216750934,0.503934931,0.636271708,0.763772258,3.512353503,2.061329309,1
0.001,256,1,1000,1,32,64,0,3,0.227786327,0.516992746,0.649989009,0.770762805,3.549529228,1.362335925,1
0.001,256,1,1000,1,32,64,0.25,1,0.222818202,0.492635744,0.61864146,0.739766982,3.562980569,4.541783949,1
0.001,256,1,1000,1,32,64,0.25,2,0.201143108,0.468586503,0.600439657,0.732776434,3.618068534,2.889141079,1
0.001,256,1,1000,1,32,64,0.25,3,0.19006375,0.459749395,0.593537041,0.73343592,3.679284329,2.25837744,1
0.001,256,1,1000,1,32,64,0,1,0.210287975,0.482479666,0.607210376,0.738448011,3.587299344,4.314053252,2
0.001,256,1,1000,1,32,64,0,2,0.220488019,0.496680589,0.631303583,0.762365355,3.515337312,2.270607992,2
0.001,256,1,1000,1,32,64,0,3,0.217498351,0.502264234,0.638821719,0.767905034,3.588162323,1.45654747,2
0.001,256,1,1000,1,32,64,0.25,1,0.203825016,0.463926138,0.590239613,0.720114311,3.681741937,4.415348774,2
0.001,256,1,1000,1,32,64,0.25,2,0.194108595,0.45785887,0.585623214,0.723016047,3.668608928,2.95971785,2
0.001,256,1,1000,1,32,64,0.25,3,0.192349967,0.467883051,0.604000879,0.738140251,3.655993703,2.400092336,2
0.001,256,1,1000,1,32,64,0,1,0.214684546,0.475621016,0.602506045,0.727940207,3.658211681,4.848792961,4
0.001,256,1,1000,1,32,64,0,2,0.206814685,0.478434821,0.607078479,0.739898879,3.601261128,2.944427732,4
0.001,256,1,1000,1,32,64,0,3,0.217806111,0.496021104,0.625763904,0.7526929,3.614460251,1.848980669,4
0.001,256,1,1000,1,32,64,0.25,1,0.191998241,0.458034733,0.585007694,0.713783249,3.777633359,4.846149387,4
0.001,256,1,1000,1,32,64,0.25,2,0.193668938,0.457375247,0.584480106,0.718707408,3.675447437,3.486162357,4
0.001,256,1,1000,1,32,64,0.25,3,0.192349967,0.459837327,0.59129479,0.724862607,3.684776156,2.784704307,4
0.001,256,1,1000,2,32,64,0,1,0.194328424,0.486084854,0.621279402,0.747680809,3.594914723,4.014524532,1
0.001,256,1,1000,2,32,64,0,2,0.195559464,0.486392614,0.62273027,0.751549791,3.569271551,2.173482889,1
