lr,Batch size,Number of layers,Nodes per layer,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,512,1,2500,0,3,0.184260277,0.489206419,0.632710486,0.765970543,3.670274342,2.26392233,307
0.001,512,1,2500,0,4,0.200131897,0.497164212,0.642954495,0.769531765,3.714275058,1.653296093,309
0.001,512,1,2500,0,5,0.199516377,0.495405584,0.637370851,0.768608485,3.81738917,1.26124472,307
0.001,512,1,2500,0.25,1,0.190019785,0.495449549,0.635260497,0.762233458,3.72892019,4.507317453,309
0.001,512,1,2500,0.25,2,0.19406463,0.489690042,0.625016487,0.756825676,3.626285304,3.218735102,309
0.001,512,1,2500,0.25,3,0.19221807,0.487711585,0.63143548,0.764783469,3.622820769,2.481101295,308
0.001,512,1,2500,0.25,4,0.181490437,0.479446032,0.621235436,0.758056716,3.730772935,1.968804223,310
0.001,512,1,2500,0.25,5,0.182193889,0.473818422,0.622202682,0.761881732,3.805461174,1.634569395,309
0.001,512,1,2500,0.5,1,0.18382062,0.48212794,0.618685425,0.749395472,3.755977986,4.653640183,309
0.001,512,1,2500,0.5,2,0.195955155,0.487052099,0.618905254,0.746669598,3.642431556,3.501081873,309
0.001,512,1,2500,0.5,3,0.196746538,0.484194328,0.622950099,0.757045505,3.659960996,3.048293078,308
0.001,512,1,2500,0.5,4,0.177621455,0.472411519,0.611826775,0.75053858,3.732750463,2.885005289,309
0.001,512,1,2500,0.5,5,0.177401627,0.464014069,0.611299187,0.747548912,3.729503504,2.352939203,308
0.001,512,5,500,0,1,0.127588481,0.411387118,0.543020444,0.67619257,4.302332709,5.105132347,149
0.001,512,5,500,0,2,0.128775555,0.395779292,0.536381622,0.674785667,4.294765907,4.854994059,148
0.001,512,5,500,0,3,0.129171246,0.418553528,0.551901517,0.693866784,4.079289336,4.660465731,149
0.001,512,5,500,0,4,0.12380743,0.420531985,0.566849857,0.70261596,4.012633461,4.250802794,150
0.001,512,5,500,0,5,0.132644537,0.425895801,0.568520554,0.709122884,3.916041422,3.924556712,150
0.001,512,5,500,0.25,1,0.135634205,0.415959552,0.547680809,0.684985711,4.307632213,5.112800692,152
0.001,512,5,500,0.25,2,0.131853155,0.409232798,0.544251484,0.678478787,4.284693199,4.863937239,149
0.001,512,5,500,0.25,3,0.129874698,0.400747417,0.543635964,0.675357221,4.2789059,4.722005415,151
0.001,512,5,500,0.25,4,0.124862607,0.397493955,0.525302264,0.658650253,4.328926139,4.628356518,150
0.001,512,5,500,0.25,5,0.125917784,0.397098263,0.530622115,0.664849417,4.300946893,4.551573925,150
0.001,512,5,500,0.5,1,0.132248846,0.397274126,0.534710925,0.680457243,4.312747998,5.100105781,150
0.001,512,5,500,0.5,2,0.1328204,0.406418993,0.540778193,0.676368433,4.270319992,4.855209442,149
0.001,512,5,500,0.5,3,0.132029017,0.409980215,0.539415256,0.668982194,4.253893227,4.723674099,151
0.001,512,5,500,0.5,4,0.129083315,0.400967246,0.53466696,0.666476149,4.264323499,4.620275074,151
0.001,512,5,500,0.5,5,0.125829853,0.403737085,0.536117828,0.675093427,4.152799532,4.434433008,151
