lr,F1 size,F2 size,Window size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,2,16,0.2,3,0.157916026,0.441670697,0.564247087,0.699925258,4.585250632,5.326787274,206
0.001,2,16,0.4,1,0.103178721,0.253277643,0.372776434,0.530349527,5.396869405,5.794882608,316
0.001,2,16,0.4,2,0.14261596,0.408916245,0.54107716,0.682822598,4.670796352,5.44919509,318
0.001,2,16,0.4,3,0.148023741,0.426766322,0.556201363,0.698078699,4.601250839,5.352577346,318
0.001,2,32,0.04,1,0.159982414,0.413400747,0.536021104,0.677986371,4.909925588,5.709246357,134
0.001,2,32,0.04,2,0.161125522,0.44123104,0.567412618,0.705816663,4.517105272,5.329833333,134
0.001,2,32,0.04,3,0.159894482,0.448617279,0.571677292,0.707619257,4.5068088,5.303105828,135
0.001,2,32,0.08,1,0.161169488,0.432921521,0.563016047,0.692934711,4.842805958,5.702803537,156
0.001,2,32,0.08,2,0.161521213,0.450112113,0.57466696,0.714302044,4.502704514,5.31852342,156
0.001,2,32,0.08,3,0.165917784,0.45587162,0.579459222,0.714609804,4.485310756,5.293508484,156
0.001,2,32,0.2,1,0.152772038,0.444132776,0.570006595,0.706212354,4.741844633,5.671789392,219
0.001,2,32,0.2,2,0.157916026,0.458729391,0.577832491,0.715796878,4.501966042,5.319858864,219
0.001,2,32,0.2,3,0.158751374,0.46211475,0.578052319,0.717555507,4.497417619,5.305115057,219
0.001,2,32,0.4,1,0.15571774,0.37312816,0.509685645,0.662642339,5.078408888,5.738639762,335
0.001,2,32,0.4,2,0.154310838,0.435119807,0.568335898,0.7087184,4.537653669,5.354139912,334
0.001,2,32,0.4,3,0.152772038,0.439560343,0.572292812,0.711532205,4.513166841,5.303541192,334
0.001,2,64,0.04,1,0.157696197,0.464357002,0.580514399,0.720501209,4.496195942,5.594443482,167
0.001,2,64,0.04,2,0.162400528,0.465236316,0.580470433,0.719094306,4.438921038,5.280675253,167
0.001,2,64,0.04,3,0.1575643,0.464972521,0.588472192,0.718918444,4.41977663,5.264704144,167
0.001,2,64,0.08,1,0.158443614,0.448793141,0.575150583,0.712323588,4.617560238,5.640165455,200
0.001,2,64,0.08,2,0.154354803,0.448617279,0.578623873,0.713598593,4.45185407,5.283861704,199
0.001,2,64,0.08,3,0.157959991,0.455212135,0.58091009,0.716104638,4.451062944,5.267805927,200
0.001,2,64,0.2,1,0.158003957,0.43437239,0.558839305,0.69284678,4.773904069,5.678754635,291
0.001,2,64,0.2,2,0.158223785,0.445495713,0.574447131,0.709993405,4.470162688,5.297746969,291
0.001,2,64,0.2,3,0.156860849,0.446902616,0.574754891,0.711180479,4.458694628,5.272295132,291
0.001,2,64,0.4,1,0.152772038,0.401002418,0.531580567,0.661982853,4.938364156,5.720040131,462
0.001,2,64,0.4,2,0.159718619,0.438724995,0.573523851,0.708938228,4.460313606,5.296833397,462
0.001,2,64,0.4,3,0.17066608,0.45116729,0.578623873,0.718918444,4.406603453,5.23728922,462
0.001,2,128,0.04,1,0.154882392,0.46334579,0.581041987,0.72305122,4.419691075,5.530991217,205
0.001,2,128,0.04,2,0.160905694,0.456531106,0.58337217,0.723139151,4.402160634,5.259961616,205
0.001,2,128,0.04,3,0.163235876,0.456926797,0.582492856,0.723227083,4.412793986,5.256843237,205
